OID_,Facility_Name,Physical_Address,City,State,Zip_Code,Population,Construction,Capacity,Security_Level,Facility_Type
41,CENTRAL STATE PRISON,4600 FULTON MILL ROAD,MACON,GA,31208,ADULT MALES,1978,1153,MEDIUM,State Prison
42,RUTLEDGE STATE PRISON,7175 MANOR ROAD,COLUMBUS,GA,31907,ADULT MALE FELONS,1976,640,MEDIUM,State Prison
43,MACON STATE PRISON,2728 SOUTH 49 HWY,OGLETHORPE,GA,31068,ADULT MALE FELONS,1993,1762,CLOSE,State Prison
44,DOOLY STATE PRISON,1412 PLUNKETT ROAD,UNADILLA,GA,31091,ADULT MALES,1993,1702,MEDIUM,State Prison
45,DODGE STATE PRISON,2971 OLD BETHEL CHURCH ROAD,CHESTER,GA,31012,ADULT MALE FELONS,1982,1236,MEDIUM,State Prison
46,EMANUEL WOMENS FACILITY,714 GUMLOG ROAD,SWAINSBORO,GA,30401,ADULT FEMALE FELONS,1995,415,MEDIUM,State Prison
47,MONTGOMERY STATE PRISON,650 MT. VERNON/ ALSTON RD,MT. VERNON,GA,30445,ADULT MALE FELONS,1972,900,MEDIUM,State Prison
48,TELFAIR STATE PRISON,170 LONGBRIDGE ROAD,HELENA,GA,31037,ADULT MALE FELONS,1991,1400,CLOSE,State Prison
49,WILCOX STATE PRISON,470 SOUTH BROAD STREET,ABBEVILLE,GA,31001,ADULT MALE FELONS,1993,1827,MEDIUM,State Prison
50,LEE STATE PRISON,153 PINEWOOD DRIVE,LEESBURG,GA,31763,ADULT MALE FELONS,1978,762,MEDIUM,State Prison
51,CALHOUN STATE PRISON,27823 MAIN STREET,MORGAN,GA,39866,ADULT MALE FELONS,1993,1677,MEDIUM,State Prison
52,AUTRY STATE PRISON,3178 MOUNT ZION CHURCH ROAD,PELHAM,GA,31779,ADULT MALE FELONS,1992,1698,MEDIUM ,State Prison
53,ROGERS STATE PRISON,1978 GEORGIA HIGHWAY 147,REIDSVILLE,GA,30453,ADULT MALE FELONS,1983,1391,MEDIUIM,State Prison
54,GA STATE PRISON,300 1ST AVE SOUTH,REIDSVILLE,GA,30453,ADULT MALE FELONS,1937,0,SPECIAL MISSION,State Prison
55,SMITH STATE PRISON,9676 HWY 301 NORTH,GLENNVILLE,GA,30427,ADULT MALE FELONS,1993,1526,CLOSE,State Prison
56,WARE STATE PRISON,3620 Harris Road,WAYCROSS,GA,31503,ADULT MALE FELONS,1989,1546,CLOSE,State Prison
57,Folkston ICE Processing Center (Main),3026 Hwy 252 East,Folkston,GA,31537,,2019,1118,,ICE Detention Facility
58,Robert A. Deyton Detention Facility,11866 Hastings Bridge Road,Lovejoy,GA,30250,,2009,768,,ICE Detention Facility
59,Stewart Detention Center,146 CCA Road,Lumpkin,GA,31815,,2006,1752,,ICE Detention Facility
