GEO_ID,NAME,H002001,H002001ERR,H002002,H002003,H002004,H002005,H002006
1400000US24003730603,"Census Tract 7306.03, Anne Arundel County, Maryland",1086,null,1086,1086,0,0,0
1400000US24003730604,"Census Tract 7306.04, Anne Arundel County, Maryland",2236,null,2236,2236,0,0,0
1400000US24003730700,"Census Tract 7307, Anne Arundel County, Maryland",2706,null,2706,2706,0,0,0
1400000US24003730800,"Census Tract 7308, Anne Arundel County, Maryland",966,null,966,966,0,0,0
1400000US24003730901,"Census Tract 7309.01, Anne Arundel County, Maryland",1020,null,1020,1020,0,0,0
1400000US24003730902,"Census Tract 7309.02, Anne Arundel County, Maryland",1576,null,1576,1576,0,0,0
1400000US24003731002,"Census Tract 7310.02, Anne Arundel County, Maryland",1350,null,1350,1350,0,0,0
1400000US24003731003,"Census Tract 7310.03, Anne Arundel County, Maryland",1624,null,1624,1624,0,0,0
1400000US24003731004,"Census Tract 7310.04, Anne Arundel County, Maryland",1642,null,1642,1642,0,0,0
1400000US24003731102,"Census Tract 7311.02, Anne Arundel County, Maryland",3168,null,3168,3168,0,0,0
1400000US24003731103,"Census Tract 7311.03, Anne Arundel County, Maryland",1923,null,1923,1923,0,0,0
1400000US24003731104,"Census Tract 7311.04, Anne Arundel County, Maryland",1438,null,1438,1438,0,0,0
1400000US24003731105,"Census Tract 7311.05, Anne Arundel County, Maryland",1353,null,1353,1353,0,0,0
1400000US24003731201,"Census Tract 7312.01, Anne Arundel County, Maryland",2437,null,2437,2437,0,0,0
1400000US24003731202,"Census Tract 7312.02, Anne Arundel County, Maryland",2946,null,2548,2548,0,398,0
1400000US24003731203,"Census Tract 7312.03, Anne Arundel County, Maryland",2624,null,2624,2624,0,0,0
1400000US24003731204,"Census Tract 7312.04, Anne Arundel County, Maryland",2404,null,2404,2404,0,0,0
1400000US24003731303,"Census Tract 7313.03, Anne Arundel County, Maryland",2795,null,2361,2361,0,434,0
1400000US24003731306,"Census Tract 7313.06, Anne Arundel County, Maryland",2460,null,2460,2460,0,0,0
1400000US24003731307,"Census Tract 7313.07, Anne Arundel County, Maryland",2480,null,2480,2480,0,0,0
1400000US24003731308,"Census Tract 7313.08, Anne Arundel County, Maryland",1486,null,1486,1486,0,0,0
1400000US24003731309,"Census Tract 7313.09, Anne Arundel County, Maryland",2134,null,2134,2134,0,0,0
1400000US24003731310,"Census Tract 7313.10, Anne Arundel County, Maryland",1861,null,1861,1861,0,0,0
1400000US24003731311,"Census Tract 7313.11, Anne Arundel County, Maryland",2797,null,2797,2797,0,0,0
1400000US24003740102,"Census Tract 7401.02, Anne Arundel County, Maryland",2772,null,2772,2772,0,0,0
1400000US24003740103,"Census Tract 7401.03, Anne Arundel County, Maryland",3006,null,3006,3006,0,0,0
