OID_,Join_Count,TARGET_FID,JOIN_FID,FIPS,COUNTY,v023_rawvalue,OBJECTID,FIPS_1,State,County_1,Unemployed,FIPStext,Chg_Unempoyment,v058_rawvalue,Shape_length_1,Shape_area_1,Status,Score,Match_type,Match_addr,Addr_type,Facility_Name,Physical_Address,City,State_1,Zip_Code,Population,Construction,Capacity,Security_Level,Facility_Type,Shape_Length,Shape_Area,Chg_Assault,chpNotSchoolNotLabFor_e1018,Chg_Median_Income,Chg_Over15Percent,chpPopPovU18_e1018
17,0,16,-1,13307,Webster County,6.293706294000000,152,13307,Georgia,Webster,5,13307,1,100.000000000000000,0.000000000000000,0.000000000000000,,,,,,,,,,,,,,,,141629.131026715389453,760345489.677264213562012,,5.400000000000000,1036.479999999999563,1.397907649348691,16.399999999999999
18,1,17,51,13177,Lee County,3.560631508000000,88,13177,Georgia,Lee,5,13177,-1,36.228708742999999,0.000000000000000,0.000000000000000,M,98.040000000000006,A,"153 Pinewood Rd, Leesburg, Georgia, 31763",PointAddress,LEE STATE PRISON,153 PINEWOOD DRIVE,LEESBURG,,31763,ADULT MALE FELONS,1978,762,MEDIUM,STATE PRISON,189199.299994825618342,1301018865.264173030853271,-8,3.800000000000000,-2837.089999999996508,0.499896360105118,12.600000000000000
19,1,18,44,13193,Macon County,6.235468189000000,96,13193,Georgia,Macon,9,13193,-3,53.188602441999997,0.000000000000000,0.000000000000000,M,92.849999999999994,A,"2728 GA Highway 49 S, Oglethorpe, Georgia, 31068",PointAddress,MACON STATE PRISON,2728 SOUTH 49 HWY,OGLETHORPE,,31068,ADULT MALE FELONS,1993,1762,CLOSE,STATE PRISON,205068.768328294419916,1477729420.683398723602295,27,4.000000000000000,-1350.500000000000000,10.099301199195779,-5.400000000000000
20,0,19,-1,13249,Schley County,4.651162791000000,123,13249,Georgia,Schley,7,13249,-2,100.000000000000000,0.000000000000000,0.000000000000000,,,,,,,,,,,,,,,,138273.360141996876337,609464287.946246266365051,-2,-7.300000000000000,7340.760000000002037,0.500033907007098,9.300000000000001
21,1,20,19,13261,Sumter County,5.922390862000000,129,13261,Georgia,Sumter,8,13261,-2,41.783722843000000,0.000000000000000,0.000000000000000,M,98.439999999999998,A,"346 McMath Mill Rd, Americus, Georgia, 31719",PointAddress,SUMTER COUNTY CI,346 MCMATH MILL ROAD,AMERICUS,,31709,ADULT MALE FELONS,1989,350,MEDIUM,CO. CORRECTIONAL INSTITUTION,214724.843966420594370,1780568407.193477153778076,159,-9.500000000000000,-1417.699999999997090,-0.697977078177575,6.400000000000000
22,1,21,18,13273,Terrell County,6.561393956000000,135,13273,Georgia,Terrell,7,13273,0,52.055823940000003,0.000000000000000,0.000000000000000,M,100.000000000000000,A,"3110 Albany Hwy, Dawson, Georgia, 39842",StreetAddress,TERRELL COUNTY CI,3110 ALBANY HIGHWAY,DAWSON,,39842,ADULT MALE FELONS,1947,140,MEDIUM,CO. CORRECTIONAL INSTITUTION,175683.563587477023248,1213669452.810510873794556,21,-1.700000000000000,2123.290000000000873,0.900030339059784,10.400000000000000
23,0,22,-1,13143,Haralson County,3.853533738000000,71,13143,Georgia,Haralson,7,13143,-3,77.359277276000000,0.000000000000000,0.000000000000000,,,,,,,,,,,,,,,,135980.748493465682259,1064802941.734766125679016,1,-4.700000000000000,5615.760000000002037,-8.780989649442507,-8.500000000000000
24,0,23,-1,13233,Polk County,4.189612353000000,115,13233,Georgia,Polk,6,13233,-2,51.421338155999997,0.000000000000000,0.000000000000000,,,,,,,,,,,,,,,,161248.964931515103672,1179184630.726008653640747,61,-0.800000000000000,857.260000000002037,9.099595448051357,2.800000000000000
25,1,24,9,13145,Harris County,3.411806883000000,72,13145,Georgia,Harris,5,13145,-2,96.683737196999999,0.000000000000000,0.000000000000000,M,100.000000000000000,A,"9982 GA-116, Hamilton, Georgia, 31811",StreetAddress,HARRIS COUNTY CI,9982 HIGHWAY 116,HAMILTON,,31811,ADULT MALE FELONS,1931,125,MEDIUM,CO. CORRECTIONAL INSTITUTION,193799.648845510586398,1735741911.744089841842651,1,3.200000000000000,108.580000000001746,-3.199743088773218,-0.600000000000000
26,0,25,-1,13149,Heard County,3.878648233000000,74,13149,Georgia,Heard,8,13149,-4,100.000000000000000,0.000000000000000,0.000000000000000,,,,,,,,,,,,,,,,145659.151696517772507,1118921643.381980895996094,9,-6.300000000000000,-212.149999999994179,-1.199885116464517,-12.400000000000000
27,0,26,-1,13199,Meriwether County,4.996088074000000,99,13199,Georgia,Meriwether,8,13199,-3,83.284830847999999,0.000000000000000,0.000000000000000,,,,,,,,,,,,,,,,196042.139366526243975,1867302909.848237752914429,-22,-5.800000000000000,-4266.549999999995634,9.502576233801234,3.000000000000000
28,0,27,-1,13263,Talbot County,5.044091711000000,130,13263,Georgia,Talbot,7,13263,-2,93.882010197000000,0.000000000000000,0.000000000000000,,,,,,,,,,,,,,,,200356.596322095021605,1447561398.574785470962524,-3,2.800000000000000,-288.869999999995343,1.100054491414038,-6.000000000000000
29,1,28,13,13285,Troup County,3.699762626000000,141,13285,Georgia,Troup,8,13285,-4,44.299266154000001,0.000000000000000,0.000000000000000,M,98.390000000000001,A,"2508 Hamilton Rd, Lagrange, Georgia, 30241",PointAddress,TROUP COUNTY CI,2508 HAMILTON ROAD,LAGRANGE,,30240,ADULT MALE FELONS,1927,372,MEDIUM,CO. CORRECTIONAL INSTITUTION,173889.968498063302832,1648393455.779170751571655,13,5.300000000000000,-2910.299999999995634,2.799895493770499,-3.000000000000000
30,0,29,-1,13079,Crawford County,4.155707522000000,39,13079,Georgia,Crawford,6,13079,-2,100.000000000000000,0.000000000000000,0.000000000000000,,,,,,,,,,,,,,,,197679.084349145472515,1197763649.068505525588989,18,-5.700000000000000,3813.220000000001164,4.199844387239746,-7.700000000000000
31,0,30,-1,13225,Peach County,5.096129628000000,111,13225,Georgia,Peach,7,13225,-2,38.223506047999997,0.000000000000000,0.000000000000000,,,,,,,,,,,,,,,,141988.806758275517495,553546814.041704416275024,58,3.700000000000000,1460.340000000003783,8.998274183941048,-16.699999999999999
