OID_,Name,OriginID,DestinationID,DestinationRank,Total_Minutes,Total_TravelTime,Total_Miles,Total_Kilometers,Total_TimeAt1KPH,Total_WalkTime,Total_TruckMinutes,Total_TruckTravelTime,Shape_Length
1170,Census Tract 7 - Location 8,676,8,1,,8.447606684,2.820951777,,,,,,0.036038809
1171,Census Tract 8 - Location 8,677,8,1,,9.062992093,3.043586891,,,,,,0.043691593
1172,Census Tract 10.01 - Location 8,678,8,1,,12.81156339,4.423081423,,,,,,0.058102829
1173,Census Tract 10.02 - Location 8,679,8,1,,14.71468842,9.244830626,,,,,,0.084035252
1174,Census Tract 110 - Location 8,680,8,1,,15.84034852,9.629657415,,,,,,0.069372038
1175,Census Tract 1 - Location 6,681,6,1,,4.259834663,1.347152611,,,,,,0.01823121
1176,Census Tract 2 - Location 6,682,6,1,,3.252025867,1.126073859,,,,,,0.01155964
1177,Census Tract 3 - Location 6,683,6,1,,4.585981875,1.073164731,,,,,,0.01215797
1178,Census Tract 4 - Location 6,684,6,1,,3.433493084,1.074834863,,,,,,0.010988907
1179,Census Tract 5 - Location 6,685,6,1,,2.720139538,0.733402446,,,,,,0.008123058
1180,Census Tract 101.02 - Location 6,686,6,1,,7.914616995,3.464190425,,,,,,0.041863598
1181,Census Tract 9500 - Location 6,687,6,1,,40.59711611,30.48295814,,,,,,0.517415716
1182,Census Tract 9501 - Location 6,688,6,1,,37.92973551,30.44002336,,,,,,0.534010691
1183,Census Tract 9506 - Location 6,689,6,1,,36.37577735,26.18521693,,,,,,0.444793253
1184,Census Tract 101 - Location 12,690,12,1,,6.575659239,1.950929008,,,,,,0.025143978
1185,Census Tract 102 - Location 12,691,12,1,,6.289466705,1.541024669,,,,,,0.024372585
1186,Census Tract 103 - Location 11,692,11,1,,7.174646594,1.552293808,,,,,,0.017212859
1187,Census Tract 104 - Location 11,693,11,1,,7.72002738,1.751287299,,,,,,0.021583106
1188,Census Tract 105 - Location 11,694,11,1,,5.139693725,1.10754417,,,,,,0.012537206
1189,Census Tract 201 - Location 11,695,11,1,,4.162432638,0.948514827,,,,,,0.011073161
